pizza_ingredients,required_quantity_in_grams,unit,remarks
Alfredo Sauce,295.0,grams,For next week's pizza sales
Anchovies,830.0,grams,For next week's pizza sales
Artichokes,2265.0,grams,For next week's pizza sales
Arugula,305.0,grams,For next week's pizza sales
Asiago Cheese,1340.0,grams,For next week's pizza sales
Bacon,9410.0,grams,For next week's pizza sales
Barbecue Sauce,500.0,grams,For next week's pizza sales
Barbecued Chicken,1450.0,grams,For next week's pizza sales
Beef Chuck Roast,2850.0,grams,For next week's pizza sales
Blue Cheese,840.0,grams,For next week's pizza sales
Brie Carre Cheese,270.0,grams,For next week's pizza sales
Calabrese Salami,3850.0,grams,For next week's pizza sales
Capocollo,14050.0,grams,For next week's pizza sales
Caramelized Onions,144.0,grams,For next week's pizza sales
Chicken,18400.0,grams,For next week's pizza sales
Chipotle Sauce,1570.0,grams,For next week's pizza sales
Chorizo Sausage,1800.0,grams,For next week's pizza sales
Cilantro,785.0,grams,For next week's pizza sales
Coarse Sicilian Salami,2880.0,grams,For next week's pizza sales
Corn,5260.0,grams,For next week's pizza sales
Eggplant,720.0,grams,For next week's pizza sales
Feta Cheese,2360.0,grams,For next week's pizza sales
Fontina Cheese,1280.0,grams,For next week's pizza sales
Friggitello Peppers,190.0,grams,For next week's pizza sales
Garlic,5800.0,grams,For next week's pizza sales
Genoa Salami,1740.0,grams,For next week's pizza sales
Goat Cheese,2920.0,grams,For next week's pizza sales
Gorgonzola Piccante Cheese,1260.0,grams,For next week's pizza sales
Gouda Cheese,880.0,grams,For next week's pizza sales
Green Olives,1185.0,grams,For next week's pizza sales
Green Peppers,1755.0,grams,For next week's pizza sales
Italian Sausage,360.0,grams,For next week's pizza sales
Jalapeno Peppers,1225.0,grams,For next week's pizza sales
Kalamata Olives,725.0,grams,For next week's pizza sales
Luganega Sausage,1440.0,grams,For next week's pizza sales
Mozzarella Cheese,4280.0,grams,For next week's pizza sales
Mushrooms,7000.0,grams,For next week's pizza sales
Nduja Salami,760.0,grams,For next week's pizza sales
Onions,720.0,grams,For next week's pizza sales
Oregano,310.0,grams,For next week's pizza sales
Pancetta,1140.0,grams,For next week's pizza sales
Parmigiano Reggiano Cheese,3000.0,grams,For next week's pizza sales
Pears,90.0,grams,For next week's pizza sales
Peperoncini verdi,420.0,grams,For next week's pizza sales
Pepperoni,8180.0,grams,For next week's pizza sales
Pesto Sauce,1060.0,grams,For next week's pizza sales
Pineapple,2985.0,grams,For next week's pizza sales
Plum Tomatoes,660.0,grams,For next week's pizza sales
Prosciutto,270.0,grams,For next week's pizza sales
Prosciutto di San Daniele,710.0,grams,For next week's pizza sales
Provolone Cheese,840.0,grams,For next week's pizza sales
Red Onions,16140.0,grams,For next week's pizza sales
Red Peppers,3400.0,grams,For next week's pizza sales
Ricotta Cheese,1575.0,grams,For next week's pizza sales
Romano Cheese,840.0,grams,For next week's pizza sales
Sliced Ham,1125.0,grams,For next week's pizza sales
Smoked Gouda Cheese,840.0,grams,For next week's pizza sales
Soppressata Salami,2000.0,grams,For next week's pizza sales
Spinach,5430.0,grams,For next week's pizza sales
Sun-dried Tomatoes,320.0,grams,For next week's pizza sales
Thai Sweet Chilli Sauce,1090.0,grams,For next week's pizza sales
Thyme,45.0,grams,For next week's pizza sales
Tomatoes,11150.0,grams,For next week's pizza sales
Zucchini,880.0,grams,For next week's pizza sales
